# text = Ainult kaks kuud pärast lõpetamist avaldas ta oma esimese artikli Albert Einsteini üldrelatiivsusteooriast.
# sent_id = 116.et
1	Ainult	ainult	_	605b513fabbf638f9b6e72ca@605b513fabbf638f9b6e72ca-3	_
2	kaks	kaks	_	non-content-word	_
3	kuud	kuu	_	605b513fabbf638f9b6e784b@605b513fabbf638f9b6e784b-2	_
4	pärast	pärast	_	non-content-word	_
5	lõpetamist	lõpetamine	_	605b513fabbf638f9b6e7978@605b513fabbf638f9b6e7978-3	_
6	avaldas	avaldama	_	605b513fabbf638f9b6e7394@605b513fabbf638f9b6e7394-5	_
7	ta	tema	_	non-content-word	_
8	oma	oma	_	605b513fabbf638f9b6e7b0a@605b513fabbf638f9b6e7b0a-0	_
9	esimese	esimene	_	605b513fabbf638f9b6e7480@605b513fabbf638f9b6e7480-8	_
10	artikli	artikkel	_	605b513fabbf638f9b6e734d@605b513fabbf638f9b6e734d-1	_
11	Albert	Albert	_	bn:00002460n	MWE_1
12	Einsteini	Einstein	_	bn:00002460n	MWE_1
13	üldrelatiivsusteooriast	üldrelatiivsusteooria	SpaceAfter=No	621051cccb77dbe257c4cf97@621051cccb77dbe257c4cf97-0	_
14	.	.	_	non-content-word	_

# text = Vaatluste tulemused viitavad sellele, et 73% tänapäeva universumi energiatihedusest esineb selles vormis.
# sent_id = 115.et
1	Vaatluste	vaatlus	_	605b513fabbf638f9b6e8078@605b513fabbf638f9b6e8078-1	_
2	tulemused	tulemus	_	605b513fabbf638f9b6e7fca@605b513fabbf638f9b6e7fca-0	_
3	viitavad	viitama	_	605b513fabbf638f9b6e813e@605b513fabbf638f9b6e813e-2	_
4	sellele	see	SpaceAfter=No	non-content-word	_
5	,	,	_	non-content-word	_
6	et	et	_	non-content-word	_
7	73	73	SpaceAfter=No	non-content-word	_
8	%	%	_	non-content-word	_
9	tänapäeva	tänapäev	_	621051cccb77dbe257c4ce89@621051cccb77dbe257c4ce89-0	_
10	universumi	universum	_	605b513fabbf638f9b6e8057@605b513fabbf638f9b6e8057-0	_
11	energiatihedusest	energiatihedus	_	621051cccb77dbe257c4c854@621051cccb77dbe257c4c854-0	_
12	esineb	esinema	_	605b513fabbf638f9b6e7484@605b513fabbf638f9b6e7484-2	_
13	selles	see	_	non-content-word	_
14	vormis	vorm	SpaceAfter=No	605b513fabbf638f9b6e814a@605b513fabbf638f9b6e814a-3	_
15	.	.	_	non-content-word	_

# text = Haiguse jaoks pole konkreetset ravi.
# sent_id = 118.et
1	Haiguse	haigus	_	605b513fabbf638f9b6e74f7@605b513fabbf638f9b6e74f7-0	_
2	jaoks	jaoks	_	non-content-word	_
3	pole	olema	_	605b513fabbf638f9b6e7afc@605b513fabbf638f9b6e7afc-0	_
4	konkreetset	konkreetne	_	605b513fabbf638f9b6e77ab@605b513fabbf638f9b6e77ab-1	_
5	ravi	ravi	SpaceAfter=No	605b513fabbf638f9b6e7ce7@605b513fabbf638f9b6e7ce7-0	_
6	.	.	_	non-content-word	_

# text = Rasvumine tekib sarnaselt muudele terviseprobleemidele geneetiliste ja keskkonnategurite koostoimel.
# sent_id = 117.et
1	Rasvumine	rasvumine	_	605b513fabbf638f9b6e7ce0@605b513fabbf638f9b6e7ce0-0	_
2	tekib	tekkima	_	605b513fabbf638f9b6e7f57@605b513fabbf638f9b6e7f57-1	_
3	sarnaselt	sarnaselt	_	605b513fabbf638f9b6e7d98@605b513fabbf638f9b6e7d98-0	_
4	muudele	muu	_	non-content-word	_
5	terviseprobleemidele	terviseprobleem	_	621051cccb77dbe257c4ce41@621051cccb77dbe257c4ce41-0	_
6	geneetiliste	geneetiline	_	605b513fabbf638f9b6e74dd@605b513fabbf638f9b6e74dd-1	_
7	ja	ja	_	non-content-word	_
8	keskkonnategurite	keskkonnategur	_	621051cccb77dbe257c4c9d5@621051cccb77dbe257c4c9d5-0	_
9	koostoimel	koostoime	SpaceAfter=No	621051cccb77dbe257c4ca36@621051cccb77dbe257c4ca36-0	_
10	.	.	_	non-content-word	_

# text = Ta on nimetatud sõjaväelase ja riigimehe Charles de Gaulle'i järgi.
# sent_id = 122.et
1	Ta	tema	_	non-content-word	_
2	on	olema	_	605b513fabbf638f9b6e7afc@605b513fabbf638f9b6e7afc-2	_
3	nimetatud	nimetama	_	605b513fabbf638f9b6e7aaf@605b513fabbf638f9b6e7aaf-0	_
4	sõjaväelase	sõjaväelane	_	621051cccb77dbe257c4cdd1@621051cccb77dbe257c4cdd1-0	_
5	ja	ja	_	non-content-word	_
6	riigimehe	riigimees	_	621051cccb77dbe257c4cd03@621051cccb77dbe257c4cd03-0	_
7	Charles	Charles	_	bn:00017837n	MWE_1
8	de	de	_	bn:00017837n	MWE_1
9	Gaulle'i	Gaulle	_	bn:00017837n	MWE_1
10	järgi	järgi	SpaceAfter=No	non-content-word	_
11	.	.	_	non-content-word	_

# text = Palladianism (ja Palladionism) ehk Palladio stiil on Veneetsia arhitekti Andrea Palladio (1508–1580) loomingust mõjutatud klassitsistlik ehituslaad.
# sent_id = 121.et
1	Palladianism	palladianism	_	bn:03416108n	_
2	(	(	SpaceAfter=No	non-content-word	_
3	ja	ja	_	non-content-word	_
4	Palladionism	Palladionism	SpaceAfter=No	sense-not-found	_
5	)	)	_	non-content-word	_
6	ehk	ehk	_	non-content-word	_
7	Palladio	Palladio	_	notFound=true;	MWE_1
8	stiil	stiil	_	notFound=true;	MWE_1
9	on	olema	_	605b513fabbf638f9b6e7afc@605b513fabbf638f9b6e7afc-2	_
10	Veneetsia	Veneetsia	_	bn:00079733n	_
11	arhitekti	arhitekt	_	605b513fabbf638f9b6e733d@605b513fabbf638f9b6e733d-0	_
12	Andrea	Andrea	_	bn:00003970n	MWE_2
13	Palladio	Palladio	_	bn:00003970n	MWE_2
14	(	(	SpaceAfter=No	non-content-word	_
15	1508–1580	1508–1580	SpaceAfter=No	non-content-word	_
16	)	)	_	non-content-word	_
17	loomingust	looming	_	605b513fabbf638f9b6e7948@605b513fabbf638f9b6e7948-0	_
18	mõjutatud	mõjutama	_	605b513fabbf638f9b6e7a6a@605b513fabbf638f9b6e7a6a-0	_
19	klassitsistlik	klassitsistlik	_	605b513fabbf638f9b6e7746@605b513fabbf638f9b6e7746-0	_
20	ehituslaad	ehituslaad	SpaceAfter=No	sense-not-found	_
21	.	.	_	non-content-word	_

# text = Anafülaksia on äge ja kiire allergiline reaktsioon, mis mõjutab mitmeid kehasüsteeme.
# sent_id = 124.et
1	Anafülaksia	anafülaksia	_	605b513fabbf638f9b6e731c@605b513fabbf638f9b6e731c-0	_
2	on	olema	_	605b513fabbf638f9b6e7afc@605b513fabbf638f9b6e7afc-2	_
