# text = Az ötödik évadban a program új koncepció szerint került megszervezésre: minden országot egy kiválasztott fiatal labdarúgó képviselt.
# sent_id = 1.hu
1	Az	az	_	non-content-word	_
2	ötödik	ötödik	_	non-content-word	_
3	évadban	évad	_	6070ac2d19cad2110a6f50f1@6070ac2d19cad2110a6f50f1-1	_
4	a	a	_	non-content-word	_
5	program	program	_	6070ac2c19cad2110a6f0cac@6070ac2c19cad2110a6f0cac-3	_
6	új	új	_	6070ac2d19cad2110a6f561d@6070ac2d19cad2110a6f561d-4	_
7	koncepció	koncepció	_	6070ac2c19cad2110a6ed6ac@6070ac2c19cad2110a6ed6ac-3	_
8	szerint	szerint	_	non-content-word	_
9	került	kerül	_	6070ac2c19cad2110a6ece38@6070ac2c19cad2110a6ece38-37	_
10	megszervezésre	megszervezés	SpaceAfter=No	lexli:0oUQ2IYuGGhZzqljc2YxahtMCgdCm8aTEGmCpV6aLINqatPWWwjLbu4NOa	_
11	:	:	_	non-content-word	_
12	minden	minden	_	non-content-word	_
13	országot	ország	_	6070ac2c19cad2110a6f055b@6070ac2c19cad2110a6f055b-0	_
14	egy	egy	_	non-content-word	_
15	kiválasztott	kiválasztott	_	6070ac2c19cad2110a6ed4c7@6070ac2c19cad2110a6ed4c7-0	_
16	fiatal	fiatal	_	6070ac2c19cad2110a6ea5e3@6070ac2c19cad2110a6ea5e3-0	_
17	labdarúgó	labdarúgó	_	6070ac2c19cad2110a6ee2b4@6070ac2c19cad2110a6ee2b4-0	_
18	képviselt	képvisel	SpaceAfter=No	6070ac2c19cad2110a6edc11@6070ac2c19cad2110a6edc11-10	_
19	.	.	_	non-content-word	_

# text = A krupp a gyermekek mintegy 15%-át érinti, és általában 6 hónapos és 5-6 éves kor között jelenik meg.
# sent_id = 2.hu
1	A	a	_	non-content-word	_
2	krupp	krupp	_	lexli:yTy0di30rcQuXmOvHS9Af8283hRNkDcdWSijsugTr8m9vUO3u8v53UYFze	_
3	a	a	_	non-content-word	_
4	gyermekek	gyermek	_	6070ac2c19cad2110a6eb135@6070ac2c19cad2110a6eb135-0	_
5	mintegy	mintegy	_	6070ac2c19cad2110a6ef796@6070ac2c19cad2110a6ef796-0	_
6-7	15%-át	_	_	_	_
6	15	15	_	non-content-word	_
7	%	%	_	non-content-word	_
8	érinti	érint	SpaceAfter=No	6070ac2d19cad2110a6f5010@6070ac2d19cad2110a6f5010-4	_
9	,	,	_	non-content-word	_
10	és	és	_	non-content-word	_
11	általában	általában	_	6070ac2d19cad2110a6f4b3d@6070ac2d19cad2110a6f4b3d-4	_
12	6	hat	_	non-content-word	_
13	hónapos	hónapos	_	6070ac2c19cad2110a6ec06d@6070ac2c19cad2110a6ec06d-1	_
14	és	és	_	non-content-word	_
15	5-6	5-6	_	non-content-word	_
16	éves	éves	_	6070ac2d19cad2110a6f50f7@6070ac2d19cad2110a6f50f7-0	_
17	kor	kor	_	6070ac2c19cad2110a6ed79d@6070ac2c19cad2110a6ed79d-7	_
18	között	között	_	non-content-word	_
19	jelenik	megjelenik	_	6070ac2c19cad2110a6ef175@6070ac2c19cad2110a6ef175-3	_
20	meg	meg	SpaceAfter=No	non-content-word	_
21	.	.	_	non-content-word	_

# text = Híres labdarúgók, köztük a szerb védő, Braniszlav Ivanovics és a holland csatár, Dirk Kuyt vettek részt az eseményeken világszerte.
# sent_id = 3.hu
1	Híres	híres	_	6070ac2c19cad2110a6ebfdb@6070ac2c19cad2110a6ebfdb-0	_
2	labdarúgók	labdarúgó	SpaceAfter=No	6070ac2c19cad2110a6ee2b4@6070ac2c19cad2110a6ee2b4-0	_
3	,	,	_	non-content-word	_
4	köztük	közte	_	non-content-word	_
5	a	a	_	non-content-word	_
6	szerb	szerb	_	6070ac2c19cad2110a6f1ffc@6070ac2c19cad2110a6f1ffc-0	_
7-8	védő,	_	_	_	_
7	védő	védő	_	6070ac2d19cad2110a6f4393@6070ac2d19cad2110a6f4393-3	_
8	,	,	_	non-content-word	_
9	Braniszlav	Braniszlav	_	sense-not-found	_
10	Ivanovics	Ivanovics	_	sense-not-found	_
11	és	és	_	non-content-word	_
12	a	a	_	non-content-word	_
13	holland	holland	_	6070ac2c19cad2110a6ebbf9@6070ac2c19cad2110a6ebbf9-0	_
14	csatár	csatár	SpaceAfter=No	6070ac2c19cad2110a6e883b@6070ac2c19cad2110a6e883b-3	_
15	,	,	_	non-content-word	_
16	Dirk	Dirk	_	sense-not-found	_
17	Kuyt	Kuyt	_	sense-not-found	_
18	vettek	vesz	_	6070ac2c19cad2110a6f3d1e@6070ac2c19cad2110a6f3d1e-17	_
19	részt	rész	_	6070ac2c19cad2110a6f1631@6070ac2c19cad2110a6f1631-15	_
20	az	az	_	non-content-word	_
21	eseményeken	esemény	_	6070ac2c19cad2110a6e9cdb@6070ac2c19cad2110a6e9cdb-0	_
22	világszerte	világszerte	SpaceAfter=No	6070ac2c19cad2110a6f3ee9@6070ac2c19cad2110a6f3ee9-0	_
23	.	.	_	non-content-word	_

# text = 2016. szeptember 14-én több mint 7000 ember látogatott el a film premierjére Damaszkuszban.
# sent_id = 4.hu
1	2016.	2016.	_	non-content-word	_
2	szeptember	szeptember	_	6070ac2c19cad2110a6f1ff8@6070ac2c19cad2110a6f1ff8-0	_
3	14-én	14	_	non-content-word	_
4	több	több	_	non-content-word	_
5	mint	mint	_	non-content-word	_
6	7000	7000	_	non-content-word	_
7	ember	ember	_	6070ac2c19cad2110a6e9b29@6070ac2c19cad2110a6e9b29-3	_
8	látogatott	ellátogat	_	6070ac2c19cad2110a6e9777@6070ac2c19cad2110a6e9777-0	_
9	el	el	_	non-content-word	_
10	a	a	_	non-content-word	_
11	film	film	_	6070ac2c19cad2110a6ea62b@6070ac2c19cad2110a6ea62b-2	_
12	premierjére	premier	_	6070ac2c19cad2110a6f0c63@6070ac2c19cad2110a6f0c63-0	_
13	Damaszkuszban	Damaszkusz	SpaceAfter=No	sense-not-found	_
14	.	.	_	non-content-word	_

# text = A 2015-ös események csúcspontja a Kilenc Érték Kupa átadása volt, amelyet a spanyol Barcelona labdarúgócsapata nyert el.
# sent_id = 5.hu
1	A	a	_	non-content-word	_
2	2015-ös	2015-ös	_	sense-not-found	_
3	események	esemény	_	6070ac2c19cad2110a6e9cdb@6070ac2c19cad2110a6e9cdb-0	_
4	csúcspontja	csúcspont	_	6070ac2c19cad2110a6e8c29@6070ac2c19cad2110a6e8c29-0	_
5	a	a	_	non-content-word	_
6	Kilenc	Kilenc	_	sense-not-found	_
7	Érték	Érték	_	sense-not-found	_
8	Kupa	Kupa	_	sense-not-found	_
9	átadása	átadás	_	lexli:9g65JV8RIRFs04z45dEutJKrgCXZvZ0Om7kMOk9jqzP2xe5XOlZIIIC4KA	_
10	volt	van	SpaceAfter=No	non-content-word	_
11	,	,	_	non-content-word	_
12	amelyet	amely	_	non-content-word	_
13	a	a	_	non-content-word	_
14	spanyol	spanyol	_	6070ac2c19cad2110a6f1ab1@6070ac2c19cad2110a6f1ab1-1	_
15	Barcelona	Barcelona	_	sense-not-found	_
16	labdarúgócsapata	labdarúgócsapat	_	lexli:Y0RRjFxf5OaRgABPkxula263kOMwoJEfiLoBrKNjrNgO5wLdQhdpKGrAoE	_
17	nyert	elnyer	_	6070ac2c19cad2110a6e97e3@6070ac2c19cad2110a6e97e3-1	_
18	el	el	SpaceAfter=No	non-content-word	_
19	.	.	_	non-content-word	_

# text = 2014 júniusában a mozgalom vezetőjeként ellátogatott a kilencedik, Jurij Andrejevics Morozov emlékére tartott nemzetközi ifjúsági labdarúgótornára.
# sent_id = 6.hu
1	2014	2014	_	non-content-word	_
2	júniusában	június	_	6070ac2c19cad2110a6ec942@6070ac2c19cad2110a6ec942-0	_
3	a	a	_	non-content-word	_
4	mozgalom	mozgalom	_	6070ac2c19cad2110a6ef8e2@6070ac2c19cad2110a6ef8e2-0	_
5	vezetőjeként	vezető	_	6070ac2c19cad2110a6f3d9b@6070ac2c19cad2110a6f3d9b-2	_
6	ellátogatott	ellátogat	_	6070ac2c19cad2110a6e9777@6070ac2c19cad2110a6e9777-0	_
7	a	a	_	non-content-word	_
8	kilencedik	kilencedik	SpaceAfter=No	non-content-word	_
9	,	,	_	non-content-word	_
