lemma	upos	sense_id	definition
16O	ADJ	DDDS|16O|ADJ|1	kisikov izotop
17O	ADJ	DDDS|17O|ADJ|1	kisikov izotop
18O	ADJ	DDDS|18O|ADJ|1	kisikov izotop
3D	NOUN	DDDS|3D|NOUN|1	kratica za tridimenzionalen
4-hidroksifenilalanin	NOUN	DDDS|4-hidroksifenilalanin|NOUN|1	aminokislina
54Fe	NOUN	DDDS|54Fe|NOUN|1	izotop
56Fe	NOUN	DDDS|56Fe|NOUN|1	izotop
57Fe	NOUN	DDDS|57Fe|NOUN|1	izotop
58Fe	NOUN	DDDS|58Fe|NOUN|1	izotop
A	NOUN	DDDS|A|NOUN|1	prvi po vrsti
Afriška velika jezera	MWE	DDDS|Afriška velika jezera|MWE|1	skupina jezer
Anscombeov kvartet	MWE	DDDS|Anscombeov kvartet|MWE|1	zbirka štirih naborov izmišljenih podatkov
B	NOUN	DDDS|B|NOUN|1	pri klasifikaciji
Bavarska cerkev	MWE	DDDS|Bavarska cerkev|MWE|1	institucija
Bog	NOUN	DDDS|Bog|NOUN|1	v krščanstvu
Bog	NOUN	DDDS|Bog|NOUN|2	v monoteističnih religijah
Božji	ADJ	DDDS|Božji|ADJ|1	v krščanstvu
Bézierova krivulja	MWE	DDDS|Bézierova krivulja|MWE|1	parametrična krivulja
C	NOUN	DDDS|C|NOUN|1	o tipu bolezni
CO2	NOUN	DDDS|CO2|NOUN|1	formula za ogljikov dioksid
CT	NOUN	DDDS|CT|NOUN|1	o medicinski preiskavi
CT	NOUN	DDDS|CT|NOUN|2	o napravi
DJ	NOUN	DDDS|DJ|NOUN|1	predvajalec glasbe
DKA	NOUN	DDDS|DKA|NOUN|1	bolezensko stanje
DNK	NOUN	DDDS|DNK|NOUN|1	organska spojina
Debeli rtič	MWE	DDDS|Debeli rtič|MWE|1	rt v Jadranskem morju
Eulerjeva funkcija	MWE	DDDS|Eulerjeva funkcija|MWE|1	aritmetična funkcija
GB	NOUN	DDDS|GB|NOUN|1	gigabajt
GB	NOUN	DDDS|GB|NOUN|2	gasilska brigada
GSM	NOUN	DDDS|GSM|NOUN|1	sistem komuniciranja
GSM	NOUN	DDDS|GSM|NOUN|2	mobilni telefon
GSM	NOUN	DDDS|GSM|NOUN|3	mobilna številka
H II regija	MWE	DDDS|H II regija|MWE|1	področje ioniziranega vodika
H	NOUN	DDDS|H|NOUN|1	simbol za vodik
H2	NOUN	DDDS|H2|NOUN|1	formula za plin vodik
H2	NOUN	DDDS|H2|NOUN|2	o zdravilu
HIV	NOUN	DDDS|HIV|NOUN|1	virus
Haemophilus influenzae	MWE	DDDS|Haemophilus influenzae|MWE|1	bakterija
Hamiltonov graf	MWE	DDDS|Hamiltonov graf|MWE|1	vrsta grafa
I	NOUN	DDDS|I|NOUN|1	črka abecede
ITM	NOUN	DDDS|ITM|NOUN|1	mera
Jezusov	ADJ	DDDS|Jezusov|ADJ|1	o svetopisemski osebi
KB	NOUN	DDDS|KB|NOUN|1	simbol za kilobajt
Komunistični manifest	MWE	DDDS|Komunistični manifest|MWE|1	politično besedilo
Konfederacija	NOUN	DDDS|Konfederacija|NOUN|1	zveza držav ZDA
Kongres	NOUN	DDDS|Kongres|NOUN|1	zakonodajno telo ZDA
Konvencija županov	MWE	DDDS|Konvencija županov|MWE|1	dokument
Lunin	ADJ	DDDS|Lunin|ADJ|1	o nebesnem telesu
Lunina iluzija	MWE	DDDS|Lunina iluzija|MWE|1	optični pojav
Mohorovičićeva nezveznost	MWE	DDDS|Mohorovičićeva nezveznost|MWE|1	območje v Zemljini notranjosti
Murphyjev zakon	MWE	DDDS|Murphyjev zakon|MWE|1	o sosledju dogodkov
NATO	NOUN	DDDS|NATO|NOUN|1	mednarodna organizacija
NK	NOUN	DDDS|NK|NOUN|1	nogometni klub
NO2	NOUN	DDDS|NO2|NOUN|1	simbol za dušikov dioksid
Nato	NOUN	DDDS|Nato|NOUN|1	mednarodna organizacija
Natov	ADJ	DDDS|Natov|ADJ|1	o mednarodni organizaciji
Nemško cesarstvo	MWE	DDDS|Nemško cesarstvo|MWE|1	DEFINITION_NOT_FOUND
Newtonovi zakoni gibanja	MWE	DDDS|Newtonovi zakoni gibanja|MWE|1	fizikalni zakoni
Ohridsko jezero	MWE	DDDS|Ohridsko jezero|MWE|1	jezero v Severni Makedoniji
Osončje	NOUN	DDDS|Osončje|NOUN|1	naš planetarni sistem
Peutingerjeva tabula	MWE	DDDS|Peutingerjeva tabula|MWE|1	prepis zemljevida
