lemma	upos	sense_id	definition
14-годишен	ADJ	61c25b185916e9c201c4c095@14godishen-adj-1	Който е на 14 години.
15-хиляден	ADJ	61c25b185916e9c201c4c096@15hilyaden-adj-1	Който има, който се състои от петнадесет хиляди души.
19-годишен	ADJ	61c25b185916e9c201c4c097@19godishen-adj-1	За възраст - който се измерва със срок от деветнадесет години, равен е на деветнадесет години.
59-годишен	ADJ	61c25b185916e9c201c4c098@59godishen-adj-1	Който е на 59 години.
65-годишен	ADJ	61c25b185916e9c201c4c099@65godishen-adj-1	Който е на шейсет и пет години.
Татами	PROPN	61c25b185916e9c201c4c09f@tatami-propn-1	Вид японска ппостелка.
абатство	NOUN	6078f0e081aae24f7f6e71ad@abatstvo-noun-1	Католически манастир заедно с имотите му.
абатство	NOUN	6078f0e081aae24f7f6e71ad@abatstvo-noun-2	Длъжност на абат.
аборт	NOUN	6078f0e081aae24f7f6e71bc@abort-noun-1	Преждевременно прекъсване на бременност; помятане.
абсолютен	ADJ	6078f0e081aae24f7f6e71c6@absolyuten-adj-1	Безусловен, пълен.
абстрактен	ADJ	6078f0e081aae24f7f6e71cc@abstrakten-adj-1	Който е получен чрез абстракция; отвлечен, неконкретен.
абсцес	NOUN	6078f0e081aae24f7f6e71d2@abstses-noun-1	Гнойно възпаление в организма на човек или животно.
август	NOUN	6078f0e081aae24f7f6e71e5@avgust-noun-1	Осмият месец от календарната година.
авиационен	ADJ	6078f0e081aae24f7f6e71eb@aviatsionen-adj-1	Който се отнася до авиация.
авиолиния	NOUN	6078f0e081aae24f7f6e71ee@avioliniya-noun-1	Линия на въздушния транспорт.
авиопревозвач	NOUN	6078f0e081aae24f7f6e71f0@avioprevozvach-noun-1	Компания за въздушен транспорт.
австралийски	ADJ	61c25b185916e9c201c4c0a0@avstraliyski-adj-1	Който се отнася до австралиец или до Австралия.
австралийски	ADJ	61c25b185916e9c201c4c0a0@avstraliyski-adj-2	Който се отнася до Австралия и до австралиец.
австрийски	ADJ	61c25b185916e9c201c4c0a1@avstriyski-adj-1	който се отнася до, произхожда от Австрия или е свързан с населението, езика или културата и
австрийски	ADJ	61c25b185916e9c201c4c0a1@avstriyski-adj-2	Който се отнася до Австрия и до австриец.
автобиография	NOUN	6078f0e081aae24f7f6e71fc@avtobiografiya-noun-1	Съчинение, в което авторът описва своя живот.
автобус	NOUN	61b917b8e5ae474692c4c0b0@avtobus-noun-1	Голям многоместен автомобил за превоз на пътници.
автоматизация	NOUN	6078f0e081aae24f7f6e7203@avtomatizatsiya-noun-1	Въвеждане и употреба на автоматични машини в производството.
автоматизация	NOUN	6078f0e081aae24f7f6e7203@avtomatizatsiya-noun-2	Превръщане човешките действия от съзнателни в механични.
автомобилен	ADJ	6078f0e081aae24f7f6e720c@avtomobilen-adj-1	Който се отнася до автомобил.
автономен	ADJ	6078f0e081aae24f7f6e7210@avtonomen-adj-1	Който се ползва с автономия; независим, самостоен.
автор	NOUN	6078f0e081aae24f7f6e7215@avtor-noun-1	Създател на литературно, художествено или научно произведение; творец, съставител.
автор	NOUN	6078f0e081aae24f7f6e7215@avtor-noun-2	Създател.
авторка	NOUN	6078f0e081aae24f7f6e721f@avtorka-noun-1	Жена автор.
агент	NOUN	6078f0e081aae24f7f6e722c@agent-noun-1	Представител на учреждение, организация, държава и под. за изпълнение на определени задачи.
агент	NOUN	6078f0e081aae24f7f6e722c@agent-noun-2	Таен сътрудник, изпратен в чужда държава с разузнавателна цел; шпионин.
агент	NOUN	6078f0e081aae24f7f6e722c@agent-noun-3	Деец в борбите за освобождението на България.
агенция	NOUN	6078f0e081aae24f7f6e722f@agentsiya-noun-1	Представителство или служба за транспорт, посредничество или информации.
агресивен	ADJ	6078f0e081aae24f7f6e7248@agresiven-adj-1	Нападателен (със завоевателна цел).
адамов	ADJ	6078f0e081aae24f7f6e7261@adamov-adj-1	Който е на Адам, първия човек според библията.
адаптация	NOUN	6078f0e081aae24f7f6e7262@adaptatsiya-noun-1	Приспособяване на организъм или на сетивните органи към околната среда, към окръжаващите условия; адаптиране.
адаптация	NOUN	6078f0e081aae24f7f6e7262@adaptatsiya-noun-2	Приспособяване на някого към някаква среда, някакви условия на живот; адаптиране.
адаптация	NOUN	6078f0e081aae24f7f6e7262@adaptatsiya-noun-3	Приспособяване, нагаждане на текст с оглед да се направи по-достъпен за читателите и слушателите; адаптиране.
адаптиране	NOUN	61c25b185916e9c201c4c0a2@adaptirane-noun-1	Приспособяване.
административен	ADJ	6078f0e081aae24f7f6e7273@administrativen-adj-1	Който се отнася до администрация.
администрация	NOUN	6078f0e081aae24f7f6e7276@administratsiya-noun-1	Управление и органи на управлението в държава, селище, учреждение или предприятие.
администрация	NOUN	6078f0e081aae24f7f6e7276@administratsiya-noun-2	Служба за разпространение на вестник или на списание.
азбука	NOUN	6078f0e081aae24f7f6e729a@azbuka-noun-1	Всички букви на една писменост в определен ред.
азбука	NOUN	6078f0e081aae24f7f6e729a@azbuka-noun-2	Условни знакове за предаване на някакъв текст.
азбука	NOUN	6078f0e081aae24f7f6e729a@azbuka-noun-3	Основни начала на една наука, елементарно познание.
азот	NOUN	6078f0e081aae24f7f6e72a0@azot-noun-1	Химически елемент — газ без цвят, главна съставна част на въздуха.
азотен	ADJ	6078f0e081aae24f7f6e72a1@azoten-adj-1	Който се отнася до азот.
академичен	ADJ	6078f0e081aae24f7f6e72a7@akademichen-adj-1	Който има качества и отговаря на изискванията, присъщи на работата в една академия; сериозен, издържан.
академичен	ADJ	6078f0e081aae24f7f6e72a7@akademichen-adj-2	За изкуства (живопис, скулптура, музика) — съобразен с началата и изискванията за създаване на съвършени творения; класически.
академичен	ADJ	6078f0e081aae24f7f6e72a7@akademichen-adj-3	Академически.
акт	NOUN	6078f0e081aae24f7f6e72d2@akt-noun-1	Отделна проява на човешка дейност; действие, постъпка.
акт	NOUN	6078f0e081aae24f7f6e72d2@akt-noun-2	Документ, с който се удостоверява някакъв факт или положение, установено обикновено в присъствие на свидетели.
акт	NOUN	6078f0e081aae24f7f6e72d2@akt-noun-3	Отделна самостойна част от драматично произведение; действие.
акт	NOUN	6078f0e081aae24f7f6e72d2@akt-noun-4	Тържествено годишно събрание в учебно заведение.
акт	NOUN	6078f0e081aae24f7f6e72d2@akt-noun-5	Рисунка на голо човешко тяло.
активен	ADJ	6078f0e081aae24f7f6e72d4@aktiven-adj-1	Деен, енергичен.
активизирам се	MWE	6078f0e081aae24f7f6e72d6@aktiviziram_se-verb-1	Ставам по-активен, по-деен.
