lemma	upos	sense_id	definition
A	NOUN	607b807f35d80a3e2a6e71c2@_21000016	den sjette tone i en C-dur-skala
A	NOUN	607b807f35d80a3e2a6e71c2@_21000014	det første bogstav i den danske version af det lat ...
Aserbajdsjan	NOUN	607b807f35d80a3e2a6e71e8@_23000014	landet set som dets befolkning
B	NOUN	607b807f35d80a3e2a6e71ea@_21004372	den tone der ligger en halv tone under h
B	NOUN	607b807f35d80a3e2a6e71ea@_21004373	tegnet , som i nodeskrift markerer at en noteret t ...
B	NOUN	607b807f35d80a3e2a6e71ea@_21004370	det andet bogstav i den danske version af det lati ...
BA	NOUN	607b807f35d80a3e2a6e71f5@_21004378	(titel for) person der har afsluttet en treårig gr ...
BMI	NOUN	607b807f35d80a3e2a6e71f6@_21008350	mål for forholdet mellem en persons vægt og højde
Bibelen	NOUN	607b807f35d80a3e2a6e7205@_21006974	den kristne kirkes samling af hellige skrifter, be ...
C-vitamin	NOUN	607b807f35d80a3e2a6e7216@_21012103	vandopløseligt vitamin som forebygger mangelsygdom ...
Danmark	NOUN	607b807f35d80a3e2a6e7234@_23000052	landet set som dets befolkning
EU	NOUN	607b807f35d80a3e2a6e724b@_23000271	organisation
EU-plan	NOUN	607b807f35d80a3e2a6e7250@_28020868	det niveau inden for det politiske system hvor bes ...
EU-plan	NOUN	607b807f35d80a3e2a6e7250@_28020869	plan vedr. EU
EU-sprog	NOUN	607b807f35d80a3e2a6e7253@_21017871	særlig sprogbrug der er typisk for tekster fra EU- ...
EU-sprog	NOUN	607b807f35d80a3e2a6e7253@_21017870	hvert af de sprog der er anerkendt som officielt a ...
FN	NOUN	607b807f35d80a3e2a6e7263@_23000272	organisation
Frankrig	NOUN	607b807f35d80a3e2a6e726e@_23000070	landet set som dets befolkning
I	NOUN	607b807f35d80a3e2a6e7297@_21035495	det niende bogstav i den danske version af det lat ...
Indien	NOUN	607b807f35d80a3e2a6e7299@_23000096	landet set som dets befolkning
S	NOUN	607b807f35d80a3e2a6e731b@_21069641	det 19. bogstav i den danske version af det latins ...
