lemma	upos	sense_id	definition
1000th	ADJ	609311890eca64ed92941da9@609311890eca64ed92941da9-0	the ordinal number of one thousand in counting order
11th	ADJ	609311890eca64ed92941db8@609311890eca64ed92941db8-0	coming next after the tenth and just before the twelfth in position
12th	ADJ	609311890eca64ed92941dc2@609311890eca64ed92941dc2-0	coming next after the eleventh and just before the thirteenth in position
14th	ADJ	609311890eca64ed92941dd2@609311890eca64ed92941dd2-0	coming next after the thirteenth in position
16th	ADJ	609311890eca64ed92941de5@609311890eca64ed92941de5-0	coming next after the fifteenth in position
17th	ADJ	609311890eca64ed92941df3@609311890eca64ed92941df3-0	coming next after the sixteenth in position
1850s	NOUN	609311890eca64ed92941dfc@609311890eca64ed92941dfc-0	the decade from 1850 to 1859
1860s	NOUN	609311890eca64ed92941dfd@609311890eca64ed92941dfd-0	the decade from 1860 to 1869
18th	ADJ	609311890eca64ed92941e02@609311890eca64ed92941e02-0	coming next after the seventeenth in position
1930s	NOUN	609311890eca64ed92941e09@609311890eca64ed92941e09-0	the decade from 1930 to 1939
1950s	NOUN	609311890eca64ed92941e0b@609311890eca64ed92941e0b-0	the decade from 1950 to 1959
1960s	NOUN	609311890eca64ed92941e0c@609311890eca64ed92941e0c-0	the decade from 1960 to 1969
1970s	NOUN	609311890eca64ed92941e0d@609311890eca64ed92941e0d-0	the decade from 1970 to 1979
1980s	NOUN	609311890eca64ed92941e0e@609311890eca64ed92941e0e-0	the decade from 1980 to 1989
1990s	NOUN	609311890eca64ed92941e0f@609311890eca64ed92941e0f-0	the decade from 1990 to 1999
19th	ADJ	609311890eca64ed92941e10@609311890eca64ed92941e10-0	coming next after the eighteenth in position
20	NOUN	609311890eca64ed92941e28@609311890eca64ed92941e28-0	the cardinal number that is the sum of nineteen and one
20th	ADJ	609311890eca64ed92941e2d@609311890eca64ed92941e2d-0	coming next after the nineteenth in position
23	NOUN	609311890eca64ed92941e36@609311890eca64ed92941e36-0	the cardinal number that is the sum of twenty-two and one
25	NOUN	609311890eca64ed92941e3f@609311890eca64ed92941e3f-0	the cardinal number that is the sum of twenty-four and one
3D	NOUN	609311890eca64ed92941e71@609311890eca64ed92941e71-0	a movie with images having three dimensional form or appearance
3D	NOUN	609311890eca64ed92941e71@609311890eca64ed92941e71-1	having a three-dimensional form or appearance
3rd	ADJ	609311890eca64ed92941e74@609311890eca64ed92941e74-0	coming next after the second and just before the fourth in position
40	NOUN	609311890eca64ed92941e7e@609311890eca64ed92941e7e-0	the cardinal number that is the product of ten and four
41	ADJ	609311890eca64ed92941e84@609311890eca64ed92941e84-0	being one more than forty
4th	ADJ	609311890eca64ed92941e98@609311890eca64ed92941e98-0	coming next after the third and just before the fifth in position or time or degree or magnitude
5	NOUN	609311890eca64ed92941e9b@609311890eca64ed92941e9b-0	the cardinal number that is the sum of four and one
6th	ADJ	609311890eca64ed92941ec5@609311890eca64ed92941ec5-0	coming next after the fifth and just before the seventh in position
8	NOUN	609311890eca64ed92941ed9@609311890eca64ed92941ed9-0	the cardinal number that is the sum of seven and one
9th	ADJ	609311890eca64ed92941eff@609311890eca64ed92941eff-0	coming next after the eighth and just before the tenth in position
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-0	a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-1	any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-2	one of the four nucleotides used in building DNA, also known as deoxyadenylate, or dAMP; all four nucleotides have a common phosphate group and a sugar (ribose)
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-3	(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-4	the basic unit of electric current adopted under the Systeme International d'Unites
A	NOUN	609311890eca64ed92941f00@609311890eca64ed92941f00-5	the 1st letter of the Roman alphabet
