lemma	upos	sense_id	definition
ECG	NOUN	607785dcb97e84c6c76e9752@607785dcb97e84c6c76e9752-0	Electrocardiograma.
Grecia	PROPN	607785dcb97e84c6c76ea58a@607785dcb97e84c6c76ea58a-0	Estado actual (con códigos ISO 3166: 300 / GRC / GR) del suroeste europeo, miembro de la Unión Europea, que comprende la parte meridional de la península de los Balcanes y numerosas islas que la circundan y tiene fronteras terrestres con Albania, Macedonia, Bulgaria y Turquía.
OVA	NOUN	607785ddb97e84c6c76ecb7f@607785ddb97e84c6c76ecb7f-0	Original video animación .
Oriente	PROPN	607785ddb97e84c6c76ece0b@607785ddb97e84c6c76ece0b-0	Punto cardinal del horizonte, por donde nace el Sol en los equinoccios, convencionalmente ubicado a la derecha de los mapas, a 90° del norte.
Oriente	PROPN	607785ddb97e84c6c76ece0b@607785ddb97e84c6c76ece0b-1	Continente de Asia y las regiones inmediatas de Europa y África.
Oriente	PROPN	607785ddb97e84c6c76ece0b@607785ddb97e84c6c76ece0b-2	En algunos países y áreas, nombre propio de una región que se encuentra hacia el Este u Oriente1.
Oriente Medio	MWE	607785ddb97e84c6c76ece0c@607785ddb97e84c6c76ece0c-0	Expresión de origen anglosajón que se refiere a una extensa zona de Asia, con fronteras que no están bien definidas, aunque generalmente se entiende que comprende desde Turquía y Siria hasta la región irano-afgana, incluyendo la península arábiga.
Tierra	PROPN	607785ddb97e84c6c76ee156@607785ddb97e84c6c76ee156-0	Planeta en el que vivimos, es el tercer planeta del sistema solar.
Tierra	PROPN	607785ddb97e84c6c76ee156@607785ddb97e84c6c76ee156-1	Planeta con características similares a nuestra Tierra1 y que por lo tanto podrían albergar vida extraterrestre.
Tierra	PROPN	607785ddb97e84c6c76ee156@607785ddb97e84c6c76ee156-2	Elemento que incluye los signos de Tauro, Virgo y Capricornio.
UE	NOUN	607785ddb97e84c6c76ee3aa@607785ddb97e84c6c76ee3aa-0	Unión Europea.
XML	NOUN	607785ddb97e84c6c76ee9be@607785ddb97e84c6c76ee9be-0	Es un metalenguaje extensible de etiquetas desarrollado por el World Wide Web Consortium (W3C). Es una simplificación y adaptación del SGML y permite definir la gramática de lenguajes específicos (de la misma manera que HTML es a su vez un lenguaje definido por SGML). Por lo tanto XML no es realmente un lenguaje en particular, sino una manera de definir lenguajes para diferentes necesidades. Algunos de estos lenguajes que usan XML para su definición son XHTML, SVG, MathML.
a	NOUN	607785ddb97e84c6c76eedcc@607785ddb97e84c6c76eedcc-0	Primera letra del abecedario español y primera de sus vocales.
a	NOUN	607785ddb97e84c6c76eedcc@607785ddb97e84c6c76eedcc-1	Nombre de la letra a1.
a	NOUN	607785ddb97e84c6c76eedcc@607785ddb97e84c6c76eedcc-2	Por extensión, cualquier figura semejante a esa letra, sea en su forma mayúscula o minúscula.
a la vez	MWE	607785ddb97e84c6c76eee06@607785ddb97e84c6c76eee06-0	A un tiempo, simultáneamente.
a menudo	MWE	607785ddb97e84c6c76eee26@607785ddb97e84c6c76eee26-0	Referido a aquello que se realiza o acontece frecuentemente.
abad	NOUN	607785ddb97e84c6c76eee93@607785ddb97e84c6c76eee93-0	Persona que ostenta el cargo de superior en abadías, colegiatas o monasterios, de congregaciones religiosas masculinas.
abad	NOUN	607785ddb97e84c6c76eee93@607785ddb97e84c6c76eee93-1	Cura, párroco de una iglesia.
abad	NOUN	607785ddb97e84c6c76eee93@607785ddb97e84c6c76eee93-2	En los antiguos cabildos de algunas catedrales, hace referencia al título de una dignidad (canónigo o superior).
abad	NOUN	607785ddb97e84c6c76eee93@607785ddb97e84c6c76eee93-3	Título honorífico de aquella persona que por derechos de sucesión hereda una abadía con frutos secularizados.
abad	NOUN	607785ddb97e84c6c76eee93@607785ddb97e84c6c76eee93-4	Insecto coleóptero, abadejo.
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-0	Condición o carácter de abad o de abadesa
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-1	Monasterio regido por un abad o abadesa
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-2	Territorio sobre el que tiene jurisdicción un abad o abadesa
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-3	Patrimonio de una abadía2
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-4	Tasa que se abona al cura de la parroquia a la muerte de un feligrés
abadía	NOUN	607785ddb97e84c6c76eeea0@607785ddb97e84c6c76eeea0-5	Casa en que reside el párroco
abajo	ADV	607785ddb97e84c6c76eeeac@607785ddb97e84c6c76eeeac-0	Hacia un lugar o parte inferior, o en un lugar o parte inferior.
abajo	ADV	607785ddb97e84c6c76eeeac@607785ddb97e84c6c76eeeac-1	En lugar posterior o que está después de otro; pero denotando inferioridad, ya real, ya imaginada, especialmente hablando de libros o textos.
abajo	ADV	607785ddb97e84c6c76eeeac@607785ddb97e84c6c76eeeac-2	En dirección a lo que está más bajo respecto de lo que está más alto.
abajo	ADV	607785ddb97e84c6c76eeeac@607785ddb97e84c6c76eeeac-3	Debajo, en posición o lugar inferior con respecto a otro superior.
abandonar	VERB	607785ddb97e84c6c76eeedf@607785ddb97e84c6c76eeedf-0	Dejar, desamparar a una persona, animal o cosa. No hacer caso de ella.
abandonar	VERB	607785ddb97e84c6c76eeedf@607785ddb97e84c6c76eeedf-1	Desistir de una cosa.
abandonar	VERB	607785ddb97e84c6c76eeedf@607785ddb97e84c6c76eeedf-2	Renunciar a continuar en una competición o prueba.
abandonar	VERB	607785ddb97e84c6c76eeedf@607785ddb97e84c6c76eeedf-3	Dejar el asegurado por cuenta del asegurador, relativos a accidentes del comercio marítimo, las cosas aseguradas, con el fin de obtener el pago del seguro.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-0	Ceñir con los brazos o con la mano alguna cosa.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-1	Comprender o encerrar dentro de sí.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-2	Tomar uno a su cargo muchas cosas o negocios a un tiempo.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-3	Rodear o dar un cerco a un pedazo de monte en que se presume estar la caza.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-4	Empollar.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-5	Acumular cosas y conservarlas en desmedro de los demás.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-6	Alcanzar a distinguir en torno a sí con la vista.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-7	Comprender o incluir en un espacio físico.
abarcar	VERB	607785ddb97e84c6c76eef0c@607785ddb97e84c6c76eef0c-8	Comprender o incluir en un periodo de tiempo.
aberración	NOUN	607785ddb97e84c6c76eefad@607785ddb97e84c6c76eefad-0	Comportamiento desviado de lo aceptado como normal.
aberración	NOUN	607785ddb97e84c6c76eefad@607785ddb97e84c6c76eefad-1	Aparente cambio de lugar de una estrella ocasionado por el movimiento de la tierra alrededor del sol y el que la velocidad de la luz es finita.
aberración	NOUN	607785ddb97e84c6c76eefad@607785ddb97e84c6c76eefad-2	Variación de las características de una especie.
aberración	NOUN	607785ddb97e84c6c76eefad@607785ddb97e84c6c76eefad-3	Defecto de una lente que produce una imagen imperfecta.
