lemma	upos	sense_id	definition
3G	NOUN	605b513fabbf638f9b6e71a1@605b513fabbf638f9b6e71a1-0	(nn kolmanda põlvkonna mobiilside tehnoloogia kohta)
Aasia	PROPN	605b513fabbf638f9b6e71a4@605b513fabbf638f9b6e71a4-0	maailmajagu valdavalt põhjapoolkeral, ühtse Euraasia mandri põhiosa
Alaska	PROPN	605b513fabbf638f9b6e71a6@605b513fabbf638f9b6e71a6-0	poolsaar Põhja-Ameerikas, Beringi mere ja Alaska väina vahel
Alaska	PROPN	605b513fabbf638f9b6e71a6@605b513fabbf638f9b6e71a6-1	Ameerika Ühendriikide osariik
Albaania	PROPN	605b513fabbf638f9b6e71a7@605b513fabbf638f9b6e71a7-0	riik Balkani poolsaarel Aadria mere ääres
Ameerika	PROPN	605b513fabbf638f9b6e71a9@605b513fabbf638f9b6e71a9-0	maailmajagu läänepoolkeral Vaikse ja Atlandi ookeani vahel, mille moodustavad Põhja- ja Lõuna-Ameerika mander
Ameerika	PROPN	605b513fabbf638f9b6e71a9@605b513fabbf638f9b6e71a9-1	riik Põhja-Ameerikas
Angola	PROPN	605b513fabbf638f9b6e71ac@605b513fabbf638f9b6e71ac-0	riik Aafrika edelaosas Atlandi ookeani ääres
Antant	PROPN	605b513fabbf638f9b6e71ad@605b513fabbf638f9b6e71ad-0	Prantsusmaa, Suurbritannia ja Venemaa liit 1907–1917, Keskriikide vastasjõud Esimeses maailmasõjas
Antarktika	PROPN	605b513fabbf638f9b6e71ae@605b513fabbf638f9b6e71ae-0	maailmajagu lõunapolaarpiirkonnas, hõlmab Antarktise mandrit ja seda ümbritsevate ookeanide lõunaosa
Assüüria	PROPN	605b513fabbf638f9b6e71b1@605b513fabbf638f9b6e71b1-0	vanaaja riik Põhja-Mesopotaamias tänapäeva Põhja-Iraagi aladel
Ateena	PROPN	605b513fabbf638f9b6e71b2@605b513fabbf638f9b6e71b2-0	Kreeka pealinn
Ateena	PROPN	605b513fabbf638f9b6e71b2@605b513fabbf638f9b6e71b2-1	Vana-Kreeka linnriik Kreeka keskosas Vahemere ääres, Egeuse kultuuri keskusi
Austraalia	PROPN	605b513fabbf638f9b6e71b5@605b513fabbf638f9b6e71b5-0	lõunapoolkeral paiknev riik ja mander, mida ümbritsevad Vaikne ja India ookean
Austraalia	PROPN	605b513fabbf638f9b6e71b5@605b513fabbf638f9b6e71b5-1	lõunapoolkeral paiknev riik ja mander, mida ümbritsevad Vaikne ja India ookean
Austria	PROPN	605b513fabbf638f9b6e71b6@605b513fabbf638f9b6e71b6-0	riik Kesk-Euroopas
BBC	PROPN	605b513fabbf638f9b6e71b7@605b513fabbf638f9b6e71b7-0	Suurbritannia avalik-õiguslik televisiooni- ja ringhäälingukontsern, mis edastab saateid üle maailma
Barcelona	PROPN	605b513fabbf638f9b6e71b9@605b513fabbf638f9b6e71b9-0	linn Hispaanias, Kataloonia pealinn
Belgia	PROPN	605b513fabbf638f9b6e71ba@605b513fabbf638f9b6e71ba-0	riik Lääne-Euroopas
Berliin	PROPN	605b513fabbf638f9b6e71bc@605b513fabbf638f9b6e71bc-0	Saksamaa pealinn
Brasiilia	PROPN	605b513fabbf638f9b6e71bf@605b513fabbf638f9b6e71bf-0	suur riik Lõuna-Ameerika kesk- ja idaosas
Bulgaaria	PROPN	605b513fabbf638f9b6e71c2@605b513fabbf638f9b6e71c2-0	riik Ida-Euroopas Musta mere läänekaldal
C-vitamiin	NOUN	605b513fabbf638f9b6e71c4@605b513fabbf638f9b6e71c4-0	hapu maitsega, valge või kollakas kristalne pulber, mida saadakse toidust (nt mustadest sõstardest, kibuvitsast, lehtkapsast) või kunstlikult ning mis aitab suurendada organismi vastupanuvõimet haigustele
California	PROPN	605b513fabbf638f9b6e71c5@605b513fabbf638f9b6e71c5-0	Ameerika Ühendriikide osariik, mis asub riigi lääneosas Vaikse ookeani rannikul
California	PROPN	605b513fabbf638f9b6e71c5@605b513fabbf638f9b6e71c5-1	pikk ja kitsas poolsaar Põhja-Ameerika lääneosas
Ceres	PROPN	605b513fabbf638f9b6e71c6@605b513fabbf638f9b6e71c6-0	Vana-Rooma vilja- ja põllutöö jumalanna, samastatud Vana-Kreeka Demeteriga
Ceres	PROPN	605b513fabbf638f9b6e71c6@605b513fabbf638f9b6e71c6-1	suurim kääbusplaneet
DJ	NOUN	605b513fabbf638f9b6e71c8@605b513fabbf638f9b6e71c8-0	inimene, kes valib, miksib ja mängitab tantsuks plaadi- vm salvestatud muusikat
DNA	NOUN	605b513fabbf638f9b6e71c9@605b513fabbf638f9b6e71c9-0	desoksüribonukleiinhape
Doonau	PROPN	605b513fabbf638f9b6e71cc@605b513fabbf638f9b6e71cc-0	pikkuselt teine jõgi Euroopas, suubub Musta merre
EL	PROPN	605b513fabbf638f9b6e71ce@605b513fabbf638f9b6e71ce-0	Euroopas asuvate riikide majanduslik ja poliitiline ühendus
Ecuador	PROPN	605b513fabbf638f9b6e71cf@605b513fabbf638f9b6e71cf-0	riik Lõuna-Ameerika lääneosas Vaikse ookeani kaldal
Eesti	PROPN	605b513fabbf638f9b6e71d1@605b513fabbf638f9b6e71d1-0	riik Euroopas Läänemere ääres
Eesti	PROPN	605b513fabbf638f9b6e71d1@605b513fabbf638f9b6e71d1-1	eestlaste asuala
Egiptus	PROPN	605b513fabbf638f9b6e71d2@605b513fabbf638f9b6e71d2-0	riik Kirde-Aafrikas Niiluse kallastel
Egiptus	PROPN	605b513fabbf638f9b6e71d2@605b513fabbf638f9b6e71d2-1	vanaaja riik ja tsivilisatsioon Kirde-Aafrikas Niiluse kallastel ligikaudu praeguse Egiptuse kohal
Eritrea	PROPN	605b513fabbf638f9b6e71d3@605b513fabbf638f9b6e71d3-0	riik Kirde-Aafrikas Punase mere ääres
Euroopa	PROPN	605b513fabbf638f9b6e71d5@605b513fabbf638f9b6e71d5-0	maailmajagu, mis hõlmab Euraasia mandri lääneosa
Firenze	PROPN	605b513fabbf638f9b6e71d7@605b513fabbf638f9b6e71d7-0	linn Itaalias
Guatemala	PROPN	605b513fabbf638f9b6e71da@605b513fabbf638f9b6e71da-0	riik Kesk-Ameerikas Vaikse ookeani ja Kariibi mere vahel
HIV	NOUN	605b513fabbf638f9b6e71dc@605b513fabbf638f9b6e71dc-0	aidsi tekitav viirus
Hawaii	PROPN	605b513fabbf638f9b6e71df@605b513fabbf638f9b6e71df-0	Ameerika Ühendriikide osariik samanimelises saarestikus
Hawaii	PROPN	605b513fabbf638f9b6e71df@605b513fabbf638f9b6e71df-1	troopilise puhkepiirkonnana tuntud vulkaanilise tekkega saarestik Vaikse ookeani keskosas
Hawaii	PROPN	605b513fabbf638f9b6e71df@605b513fabbf638f9b6e71df-2	Hawaii saarestiku suurim saar
Hiina	PROPN	605b513fabbf638f9b6e71e0@605b513fabbf638f9b6e71e0-0	riik Ida-Aasias
Hispaania	PROPN	605b513fabbf638f9b6e71e1@605b513fabbf638f9b6e71e1-0	riik Lõuna-Euroopas Pürenee poolsaarel
Holland	PROPN	605b513fabbf638f9b6e71e2@605b513fabbf638f9b6e71e2-0	riik Lääne-Euroopas Põhjamere ääres
Holland	PROPN	605b513fabbf638f9b6e71e2@605b513fabbf638f9b6e71e2-1	ajalooline piirkond Hollandi riigis, kaks provintsi: Lõuna- ja Põhja-Holland
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-0	eesti tähestiku täht
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-1	vastav häälik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-2	imaginaarühik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-3	(Rooma numbrina:) 1
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-4	jood
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-5	eesti tähestiku täht
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-6	vastav häälik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-7	imaginaarühik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-8	(Rooma numbrina:) 1
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-9	jood
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-10	eesti tähestiku täht
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-11	vastav häälik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-12	imaginaarühik
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-13	(Rooma numbrina:) 1
I	ADJ	605b513fabbf638f9b6e71e4@605b513fabbf638f9b6e71e4-14	jood
Iiri	PROPN	605b513fabbf638f9b6e71e8@605b513fabbf638f9b6e71e8-0	riik Euroopas, mis moodustab suurema osa Iiri saarest
Iisrael	PROPN	605b513fabbf638f9b6e71ea@605b513fabbf638f9b6e71ea-0	riik Lähis-Idas Vahemere ääres
Iisrael	PROPN	605b513fabbf638f9b6e71ea@605b513fabbf638f9b6e71ea-1	(Vanas Testamendis Jaakobist põlvneva rahva kohta)
India	PROPN	605b513fabbf638f9b6e71eb@605b513fabbf638f9b6e71eb-0	riik Lõuna-Aasias
India	PROPN	605b513fabbf638f9b6e71eb@605b513fabbf638f9b6e71eb-1	ulatuslike Kagu- ja Lõuna-Aasia alade vananenud nimetus
Island	PROPN	605b513fabbf638f9b6e71ef@605b513fabbf638f9b6e71ef-0	saareriik Atlandi ookeani põhjaosas
Itaalia	PROPN	605b513fabbf638f9b6e71f0@605b513fabbf638f9b6e71f0-0	riik Euroopas Apenniini poolsaarel
Jaapan	PROPN	605b513fabbf638f9b6e71f1@605b513fabbf638f9b6e71f1-0	riik Ida-Aasias
Jeesus	PROPN	605b513fabbf638f9b6e71f3@605b513fabbf638f9b6e71f3-0	kristluse rajaja, ristiusus tuntud kui Jumala poeg, kes kuulutas juutide seas sõnumit jumalariigist
Jeesus	PROPN	605b513fabbf638f9b6e71f3@605b513fabbf638f9b6e71f3-1	kristluse rajaja, ristiusus tuntud kui Jumala poeg, kes kuulutas juutide seas sõnumit jumalariigist
Jeruusalemm	PROPN	605b513fabbf638f9b6e71f4@605b513fabbf638f9b6e71f4-0	juutide, kristlaste ja muslimite püha linn Palestiinas, Iisraeli faktiline pealinn
Jugoslaavia	PROPN	605b513fabbf638f9b6e71f7@605b513fabbf638f9b6e71f7-0	endine liitriik Balkani poolsaare lääneosas (1918–1991)
Jugoslaavia	PROPN	605b513fabbf638f9b6e71f7@605b513fabbf638f9b6e71f7-1	endine Montenegro ja Serbia riigiliit (1992–2003)
Jupiter	PROPN	605b513fabbf638f9b6e71f8@605b513fabbf638f9b6e71f8-0	(Vana-Rooma mütoloogias:) peajumal, samastatud Vana-Kreeka Zeusiga
Jupiter	PROPN	605b513fabbf638f9b6e71f8@605b513fabbf638f9b6e71f8-1	Päikesest kauguselt viies ning suurim planeet Päikesesüsteemis
Jupiter	PROPN	605b513fabbf638f9b6e71f8@605b513fabbf638f9b6e71f8-2	(Vana-Rooma mütoloogias:) peajumal, samastatud Vana-Kreeka Zeusiga
Jupiter	PROPN	605b513fabbf638f9b6e71f8@605b513fabbf638f9b6e71f8-3	Päikesest kauguselt viies ning suurim planeet Päikesesüsteemis
Kabul	PROPN	605b513fabbf638f9b6e71fa@605b513fabbf638f9b6e71fa-0	Afganistani pealinn
Kanada	PROPN	605b513fabbf638f9b6e71ff@605b513fabbf638f9b6e71ff-0	riik Põhja-Ameerikas, mille merepiiriks on Põhja-Jäämeri, Atlandi ja Vaikne ookean
Kasahstan	PROPN	605b513fabbf638f9b6e7200@605b513fabbf638f9b6e7200-0	riik Kesk-Aasias
Kataloonia	PROPN	605b513fabbf638f9b6e7201@605b513fabbf638f9b6e7201-0	autonoomne piirkond Kirde-Hispaanias
Katar	PROPN	605b513fabbf638f9b6e7202@605b513fabbf638f9b6e7202-0	riik Araabia poolsaare idaosas Pärsia lahe ääres
Keenia	PROPN	605b513fabbf638f9b6e7203@605b513fabbf638f9b6e7203-0	riik Ida-Aafrikas India ookeani ääres
Kopenhaagen	PROPN	605b513fabbf638f9b6e7206@605b513fabbf638f9b6e7206-0	Taani pealinn
Kreeka	PROPN	605b513fabbf638f9b6e7208@605b513fabbf638f9b6e7208-0	riik Euroopas Balkani poolsaarel
Kreeka	PROPN	605b513fabbf638f9b6e7208@605b513fabbf638f9b6e7208-1	vanaaja riik, mis sai alguse Kreeka linnriikidest ja mis hõlmas Balkani poolsaare lõunaosa, Egeuse mere saari ja Väike-Aasia läänerannikut
Kreeka	PROPN	605b513fabbf638f9b6e7208@605b513fabbf638f9b6e7208-2	riik Euroopas Balkani poolsaarel
Kreeka	PROPN	605b513fabbf638f9b6e7208@605b513fabbf638f9b6e7208-3	vanaaja riik, mis sai alguse Kreeka linnriikidest ja mis hõlmas Balkani poolsaare lõunaosa, Egeuse mere saari ja Väike-Aasia läänerannikut
Kreml	PROPN	605b513fabbf638f9b6e720a@605b513fabbf638f9b6e720a-0	kindlustatud ehitiste kompleks Moskvas Moskva jõe ääres, Venemaa võimukandjate residents läbi sajandite
Kreml	PROPN	605b513fabbf638f9b6e720a@605b513fabbf638f9b6e720a-1	(Venemaa juhtkonna, presidendi või valitsuse kohta)
Kuu	PROPN	605b513fabbf638f9b6e720e@605b513fabbf638f9b6e720e-0	Maale lähim taevakeha, mis Maalt on helendavana nähtav öösiti, Maa ümber tiirlev kaaslane
Kuuba	PROPN	605b513fabbf638f9b6e720f@605b513fabbf638f9b6e720f-0	riik ja saar Lääne-India saarestikus
Kõrgõzstan	PROPN	605b513fabbf638f9b6e7211@605b513fabbf638f9b6e7211-0	riik Kesk-Aasias
Liibüa	PROPN	605b513fabbf638f9b6e7216@605b513fabbf638f9b6e7216-0	riik Põhja-Aafrikas Vahemere rannikul
Lissabon	PROPN	605b513fabbf638f9b6e7218@605b513fabbf638f9b6e7218-0	Portugali pealinn
London	PROPN	605b513fabbf638f9b6e7219@605b513fabbf638f9b6e7219-0	Suurbritannia pealinn
Lõuna-Ameerika	PROPN	605b513fabbf638f9b6e7220@605b513fabbf638f9b6e7220-0	läänepoolkera manner, Ameerika maailmajao lõunaosa alates Panama maakitsusest
Lõuna-Sudaan	PROPN	605b513fabbf638f9b6e7222@605b513fabbf638f9b6e7222-0	merepiirita riik Kirde-Aafrikas
Maa	PROPN	605b513fabbf638f9b6e7224@605b513fabbf638f9b6e7224-0	Päikesest kauguselt kolmas Päikesesüsteemi planeet, meie koduplaneet
Madrid	PROPN	605b513fabbf638f9b6e7227@605b513fabbf638f9b6e7227-0	Hispaania pealinn
Malta	PROPN	605b513fabbf638f9b6e722b@605b513fabbf638f9b6e722b-0	saareriik ja saar Euroopas Vahemeres
Manhattan	PROPN	605b513fabbf638f9b6e722c@605b513fabbf638f9b6e722c-0	saar Hudsoni jõe suudmealal
Manhattan	PROPN	605b513fabbf638f9b6e722c@605b513fabbf638f9b6e722c-1	sellel asuv New Yorgi kesklinnaosa
Marss	PROPN	605b513fabbf638f9b6e722d@605b513fabbf638f9b6e722d-0	Päikesest kauguselt neljas planeet Päikesesüsteemis, asub Maa ja Jupiteri vahel
Mehhiko	PROPN	605b513fabbf638f9b6e722e@605b513fabbf638f9b6e722e-0	riik Põhja-Ameerika mandri lõunaosas Vaikse ookeani ja Mehhiko lahe vahel
Mekong	PROPN	605b513fabbf638f9b6e722f@605b513fabbf638f9b6e722f-0	jõgi Kagu-Aasias Indohiina poolsaarel
Merkuur	PROPN	605b513fabbf638f9b6e7230@605b513fabbf638f9b6e7230-0	Päikesele lähim ning väikseim planeet Päikesesüsteemis
Merkuur	PROPN	605b513fabbf638f9b6e7230@605b513fabbf638f9b6e7230-1	Päikesele lähim ning väikseim planeet Päikesesüsteemis
Moldova	PROPN	605b513fabbf638f9b6e7232@605b513fabbf638f9b6e7232-0	riik Euroopa kaguosas Rumeenia ja Ukraina vahel
Moldova	PROPN	605b513fabbf638f9b6e7232@605b513fabbf638f9b6e7232-1	ajalooline maa-ala Rumeenias
Mongoolia	PROPN	605b513fabbf638f9b6e7233@605b513fabbf638f9b6e7233-0	merepiirita riik Sise-Aasia kirdeosas, Venemaa ja Hiina vahel
Moskva	PROPN	605b513fabbf638f9b6e7234@605b513fabbf638f9b6e7234-0	Venemaa pealinn
