lemma	upos	sense_id	definition
Afrikaans	ADJ	61f9d1602c1933ce16c4c0b6@r_a-17248	van Afrika
Afrikaans	ADJ	61f9d1602c1933ce16c4c0b6@r_a-16569	van of uit het Afrikaans
Albanees	ADJ	61f9d1602c1933ce16c4c0bb@r_a-16669	van Albanië
Algerijns	ADJ	6053e953dde807025a6e722e@_r_a_16671	of or relating to or characteristic of Algeria or its inhabitants
Amerikaan	NOUN	6053e953dde807025a6e7242@_r_n_3429	inwoner Verenigde Staten
Amerikaans	ADJ	61f9d1602c1933ce16c4c0d7@r_a-17250	van Amerika
Amerikaans	ADJ	61f9d1602c1933ce16c4c0d7@r_a-16570	van of uit het Amerikaans
Arabisch	ADJ	61f9d1602c1933ce16c4c113@r_a-16693	van Arabië
Atheens	ADJ	6053e953dde807025a6e72c9@_r_a_16703	of or relating to or characteristic of Athens or its inhabitants
Atlantisch	ADJ	6053e953dde807025a6e72ce@_r_a_17253	relating to or bordering the Atlantic Ocean
Australisch	ADJ	61f9d1602c1933ce16c4c141@r_a-16707	van Australië
Aziatisch	ADJ	6053e953dde807025a6e72e8@_r_a_16709	of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture
Baltisch	ADJ	61f9d1602c1933ce16c4c170@r_a-16719	van de Baltische staten
Beiers	ADJ	61f9d1602c1933ce16c4c183@r_a-16724	van Beieren
Belgisch	ADJ	61f9d1602c1933ce16c4c190@r_a-17254	van België
Berlijns	ADJ	61f9d1602c1933ce16c4c1a9@r_a-16734	van Berlijn
Bijbel	NOUN	6053e953dde807025a6e737a@_o_n_266473825	bijbel; Oude en Nieuwe Testament; deel v.d. bijbel
Bourgondisch	ADJ	61f9d1602c1933ce16c4c1ea@r_a-17258	uitbundig
Bourgondisch	ADJ	61f9d1602c1933ce16c4c1ea@r_a-17257	van Bourgondië
Braziliaans	ADJ	61f9d1602c1933ce16c4c1f5@r_a-17259	van Brazilië
Brit	NOUN	6053e953dde807025a6e73d2@_o_n_796975197	the people of Great Britain
Brit	NOUN	6053e953dde807025a6e73d2@_o_n_387831003	a native or inhabitant of Great Britain
Brit	NOUN	6053e953dde807025a6e73d2@_r_n_8530	inwoner Groot-Brittannië
Brits	ADJ	6053e953dde807025a6e73d6@_r_a_17260	of or relating to or characteristic of Great Britain or its people or culture
Bulgaars	ADJ	61f9d1602c1933ce16c4c20d@r_a-17262	van Bulgarije
Byzantijn	NOUN	6053e953dde807025a6e73fa@_o_n_316335885	a native or inhabitant of Byzantium or of the Byzantine Empire
Byzantijns	ADJ	61f9d1602c1933ce16c4c214@r_a-9711	Grieks-orthodox
Byzantijns	ADJ	61f9d1602c1933ce16c4c214@r_a-9514	uit Byzantium
Californisch	ADJ	6053e953dde807025a6e741a@_r_a_16768	of or relating to or characteristic of California or its inhabitants
Cambodjaans	ADJ	6053e953dde807025a6e7423@_r_a_16769	of or relating to or characteristic of Cambodia or its people or language
Canadees	ADJ	61f9d1602c1933ce16c4c22f@r_a-17263	van Canada
Celsius	NOUN	6053e953dde807025a6e7452@_o_n_178453040	Swedish astronomer who devised the centigrade thermometer (1701-1744)
Celsius	NOUN	6053e953dde807025a6e7452@_r_n_9206	schaalverdeling voor temperatuur
Chinees	ADJ	61f9d1602c1933ce16c4c258@r_a-16780	van China
Chinees	NOUN	6053e953dde807025a6e7472@_r_n_9319	taal v.d. Chinezen
Chinees	NOUN	6053e953dde807025a6e7472@_r_n_9320	Chinees restaurant
Chinees	NOUN	6053e953dde807025a6e7472@_r_n_9321	inwoner China
Cubaans	ADJ	6053e953dde807025a6e74c9@_r_a_16789	of or pertaining to or affected by albinism
DNA	NOUN	6053e953dde807025a6e74e0@_r_n_11114	basis van genetisch materiaal
Deens	ADJ	61f9d1602c1933ce16c4c28a@r_a-17264	van Denemarken
Deens	ADJ	61f9d1602c1933ce16c4c28a@r_a-16572	van of uit het Deens
Duits	ADJ	61f9d1602c1933ce16c4c2b1@r_a-17267	van Duitsland
Duits	ADJ	61f9d1602c1933ce16c4c2b1@r_a-16575	van of uit het Duits
