lemma	upos	sense_id	definition
Andrómeda	NOUN	605dd014762a466dfe6e71a3@DACL-andromeda_1-4e598-1	constelação setentrional, que ocupa uma área de 722 graus quadrados
BBC	NOUN	605dd014762a466dfe6e71a4@DACL-bbc_1-a61d0-1	sigla de British Broadcasting Corporation (estação britânica difusora de programas de rádio e televisão)
Bíblia	NOUN	605dd014762a466dfe6e71a5@DACL-biblia_1-ef358-3	conjunto formado pelos textos dos livros sagrados, composto pelo Antigo Testamento, história do povo hebraico até Jesus Cristo, e pelo Novo Testamento, história de Jesus Cristo
DNA	NOUN	605dd014762a466dfe6e71ac@DACL-dna_1-396c9-1	o mesmo que ADN
ESA	NOUN	605dd014762a466dfe6e71ad@DACL-esa_1-afafc-1	sigla inglesa de (Agência Espacial Europeia)
FIFA	NOUN	605dd014762a466dfe6e71b0@DACL-fifa_1-a2bec-1	sigla de Fédération Internationale de Football Association (Federação Internacional de Futebol)
FSE	NOUN	605dd014762a466dfe6e71b1@DACL-fse_1-e744e-1	sigla de Fundo Social Europeu
Júpiter	NOUN	605dd014762a466dfe6e71b6@DACL-jupiter_1-f70d7-1	planeta do sistema solar que gravita entre Marte e Saturno
Neptuno	NOUN	605dd014762a466dfe6e71bb@DACL-neptuno_1-b47c6-1	planeta do sistema solar que gravita entre Úrano e Plutão
OTAN	NOUN	605dd014762a466dfe6e71bf@DACL-otan_1-141e5-1	sigla de Organização do Tratado do Atlântico Norte
UE	NOUN	605dd014762a466dfe6e71c1@DACL-ue_1-0612e-1	sigla de União Europeia
UMTS	NOUN	605dd014762a466dfe6e71c3@DACL-umts_1-cd6ab-1	sigla de Universal Mobile Telecommunications System (Sistema Universal de Telecomunicações Móveis)
Urano	NOUN	605dd014762a466dfe6e71c7@DACL-urano_1-c4706-1	planeta do sistema solar que gravita entre Saturno e Neptuno
Vénus	NOUN	605dd014762a466dfe6e71c8@DACL-venus_1-5b024-1	planeta do sistema solar que gravita entre Mercúrio e a Terra
abade	NOUN	605dd014762a466dfe6e71ce@DACL-abade_1-b9e59-3	superior de convento ou mosteiro erigido em abadia
abade	NOUN	605dd014762a466dfe6e71ce@DACL-abade_1-b9e59-4	pároco de uma freguesia
abade	NOUN	605dd014762a466dfe6e71ce@DACL-abade_1-b9e59-5	homem gordo, pachorrento, de vida regalada
abade	NOUN	605dd014762a466dfe6e71ce@DACL-abade_1-b9e59-6	pássaro da família dos corvídeos de cor azul-escura, com cabeça, pescoço e garganta negros, peito, abdómen e ponta da cauda brancos
abade	NOUN	605dd014762a466dfe6e71ce@DACL-abade_1-b9e59-9	mortalha para cigarros
abadia	NOUN	605dd014762a466dfe6e71cf@DACL-abadia_1-99335-1	mosteiro ou convento dirigido por abade ou abadessa
abadia	NOUN	605dd014762a466dfe6e71cf@DACL-abadia_1-99335-2	dignidade ou cargo de abade
abadia	NOUN	605dd014762a466dfe6e71cf@DACL-abadia_1-99335-3	igreja cujo sacerdote tem a designação de abade
abadia	NOUN	605dd014762a466dfe6e71cf@DACL-abadia_1-99335-4	residência paroquial
abaixo	ADV	605dd014762a466dfe6e71d0@DACL-abaixo_1-69f3e-1	em direcção a um lugar ou parte situada em plano ou nível inferior; no sentido descendente
abaixo	ADV	605dd014762a466dfe6e71d0@DACL-abaixo_1-69f3e-2	num lugar ou numa parte situada em plano ou nível inferior
abaixo	ADV	605dd014762a466dfe6e71d0@DACL-abaixo_1-69f3e-3	em parte posterior de um texto escrito
abaixo	ADV	605dd014762a466dfe6e71d0@DACL-abaixo_1-69f3e-4	em ou com categoria hierárquica inferior
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-1	sair de um dado lugar, deixá-lo para sempre ou por algum tempo; afastar-se de um ponto de referência para atingir determinado local
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-2	deixar ficar em dado lugar
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-3	deixar alguém a quem se está ligado afectivamente
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-4	renunciar a prosseguir alguma coisa que está em curso; pôr de lado
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-5	deixar uma pessoa entregue à sua sorte, deixá-la só, desamparada
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-6	não cuidar, não fazer caso de
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-7	desistir de alguma coisa, cedê-la a outrem
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-8	fixar-se exclusivamente nos seus próprios sentimentos
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-9	dar livre expansão aos seus sentimentos
abandonar	VERB	605dd014762a466dfe6e71d2@DACL-abandonar_1-16470-13	não cuidar de si próprio
abarcar	VERB	605dd014762a466dfe6e71d3@DACL-abarcar_1-77f25-1	rodear com os braços ou com as mãos
abarcar	VERB	605dd014762a466dfe6e71d3@DACL-abarcar_1-77f25-2	chegar a, alcançar
abarcar	VERB	605dd014762a466dfe6e71d3@DACL-abarcar_1-77f25-3	alcançar com a vista
abarcar	VERB	605dd014762a466dfe6e71d3@DACL-abarcar_1-77f25-4	alcançar pelo raciocínio, compreender, dominar
